Type,Từ,Phiên âm,Hán Việt,Nghĩa,Ví dụ,Phiên âm ví dụ,Nghĩa ví dụ
HSK 1,爱,ài,Ái,yêu,我爱我的家人,Wǒ ài wǒ de jiārén,Tôi yêu gia đình của mình
HSK 1,爱好,àihào,Ái hảo,sở thích,他的爱好是读书,Tā de àihào shì dúshū,Sở thích của anh ấy là đọc sách
HSK 1,八,bā,Bát,tám,他有八本书,Tā yǒu bā běn shū,Anh ấy có tám cuốn sách
HSK 1,爸爸,bàba,Bả bả,bố,我的爸爸很高,Wǒ de bàba hěn gāo,Bố của tôi rất cao
HSK 1,吧,ba,Ba,nào! thôi!,我们走吧,Wǒmen zǒu ba,Chúng ta đi thôi
HSK 1,白,bái,Bạch,màu trắng,这件衣服是白色的,Zhè jiàn yīfu shì báisè de,Bộ quần áo này màu trắng
HSK 1,白天,báitiān,Bạch thiên,ban ngày,白天我在工作,Báitiān wǒ zài gōngzuò,Ban ngày tôi làm việc
HSK 1,百,bǎi,Bách,một trăm,他有一百块钱,Tā yǒu yībǎi kuài qián,Anh ấy có một trăm đồng
HSK 1,班,bān,Ban,lớp học,我们班有二十个学生,Wǒmen bān yǒu èrshí gè xuéshēng,Lớp của chúng tôi có hai mươi học sinh
HSK 1,半,bàn,Bán,một nửa,半小时后见,Bàn xiǎoshí hòu jiàn,Gặp nhau sau nửa giờ nữa
HSK 1,半年,bànnián,Bán niên,nửa năm,我学了半年中文,Wǒ xué le bànnián zhōngwén,Tôi đã học tiếng Trung nửa năm
HSK 1,半天,bàntiān,Bán thiên,nửa ngày,我等了他半天,Wǒ děng le tā bàntiān,Tôi đã đợi anh ấy nửa ngày
HSK 1,帮,bāng,Bang,giúp,请帮我拿一下,Qǐng bāng wǒ ná yīxià,Làm ơn giúp tôi cầm cái này
HSK 1,帮忙,bāngmáng,Bang mang,giúp đỡ,他来帮忙了,Tā lái bāngmáng le,Anh ấy đã đến giúp đỡ
HSK 1,包,bāo,Bao,túi,他有一个大包,Tā yǒu yī gè dà bāo,Anh ấy có một cái túi lớn
HSK 1,包子,bāozi,Bao tử,bánh bao,我喜欢吃包子,Wǒ xǐhuān chī bāozi,Tôi thích ăn bánh bao
HSK 1,杯,bēi,Bôi,cái cốc,这个杯很漂亮,Zhège bēi hěn piàoliang,Cái cốc này rất đẹp
HSK 1,杯子,bēizi,Bôi tử,cái cốc,桌上有一个杯子,Zhuō shàng yǒu yī gè bēizi,Trên bàn có một cái cốc
HSK 1,北,běi,Bắc,hướng bắc,北风很冷,Běi fēng hěn lěng,Gió phương bắc rất lạnh
HSK 1,北边,běibiān,Bắc biên,phía bắc,学校在城市的北边,Xuéxiào zài chéngshì de běibiān,Trường học ở phía bắc thành phố
HSK 1,北京,Běijīng,Bắc Kinh,Bắc Kinh,北京是中国的首都,Běijīng shì Zhōngguó de shǒudū,Bắc Kinh là thủ đô của Trung Quốc
HSK 1,本,běn,Bản,sách,我有一本书,Wǒ yǒu yī běn shū,Tôi có một cuốn sách
HSK 1,本子,běnzi,Bản tử,quyển vở,我买了一个本子,Wǒ mǎi le yī gè běnzi,Tôi đã mua một quyển vở
HSK 1,比,bǐ,Tỉ,hơn (so sánh),他比我高,Tā bǐ wǒ gāo,Anh ấy cao hơn tôi
HSK 1,别,bié,Biệt,đừng,别说话,Bié shuōhuà,Đừng nói chuyện
